product_id,post_title,price,z_score
4664,La Cotelleraie Saint-Nicolas-de-Bourgueil Le Vau Jaumier 2016,16.4,-0.5790781595213152
4858,Château Turcaud Bordeaux Rosé 2019,6.5,-0.9350766444944563
5826,Agnès Levet Côte Rôtie Améthyste 2017,41.2,0.31271602505786666
4071,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,33.2,0.025040481645227403
4658,Thierry Germain Saumur-Champigny Outre Terre 2016,48.8,0.5860077912998738
4907,Alphonse Mellot Coteaux Charitois Rouge Les Pénitents 2015,22.9,-0.3453417804985458
4939,Oratoire Saint Martin Cairanne Blanc Réserve des Seigneurs 2018,12.9,-0.7049362097643449
6632,Weingut Besson-Strasser Zürich Pinot Noir Chlosterberg 2016,52.7,0.7262496187135357
4265,Domaine Bulliat Beaujolais Villages Bibine 2018,9.6,-0.8236023714220585
6572,Decelle-Villa Saint-Aubin 1er Cru Sous Roche Dumay 2015,44.0,0.4134024652522903
4081,Le Vieux Donjon Châteauneuf-du-Pape 2016,39.0,0.23360525061939078
4915,Jean-Baptiste Arena Patrimonio Blanc Morta Maio,25.9,-0.2374634517188061
6631,Weingut Besson-Strasser Zürich Pinot Noir Albi 2016,47.2,0.5284726826173461
4752,Domaine de Montgilet Coteaux de l'Aubance Les Trois Schistes 2016,27.9,-0.16554456586564628
5398,Chili Montsecano (Ostertag) Pinot Noir 2013,39.0,0.23360525061939078
5773,Decelle-Villa Auxey-Duresses Blanc 2017,32.8,0.010656704474595234
5967,Zind-Humbrecht Gewurztraminer Clos Windsbuhl 2012,56.3,0.8557036132492231
5913,Darnley's London Dry Gin Original,36.0,0.12572692183965103
4224,Pierre Martin Sancerre Chavignol Rouge 2017,17.2,-0.5503106051800513
4709,Albert Mann Pinot Gris Vendanges Tardives Altenbourg 2011,44.0,0.4134024652522903
5797,Château Saransot-Dupré Listrac-Médoc 2016,17.2,-0.5503106051800513
4728,Maurice Schoech Gewurztraminer Vendanges Tardives 2017,29.5,-0.10800945718311837
6204,Domaine Giudicelli Muscat du Cap Corse 2016,31.0,-0.0540702927932485
4258,Domaine Huet Vouvray Le Mont Sec 2017,32.1,-0.014514905574010549
4964,Château Turcaud Bordeaux Rouge Cuvée Majeure 2018,12.1,-0.7337037641056088
5768,Camille Giroud Maranges Rouge 1er Cru Le Croix Moines 2016,35.6,0.11134314466901914
6626,Weingut Besson-Strasser Zürich Räuschling 2018,33.2,0.025040481645227403
4228,Domaine de Bellivière Jasnières Les Rosiers 2015,29.9,-0.09362568001248645
4336,Champagne Mailly Grand Cru Blanc de Pinot Noir,35.5,0.1077472003763611
4397,Wemyss Malts Blended Malt Scotch Whisky The Hive Batch Strength,59.0,0.9527941091509889
4166,Ollieux Romanis Corbières Boutenac Atal Sia 2017,20.5,-0.43164444352233755
5707,Domaine des Terres d'Ocre Saint-Pourçain Rouge Instant T 2015,10.8,-0.7804510399101626
6325,Tempier Bandol Blanc 2018,27.9,-0.16554456586564628
4892,Jacqueson Rully Rouge Les Chaponnières 2018,20.1,-0.44602822069296943
5396,Chili De Martino Gallardia Cinsault 2017,17.1,-0.5539065494727092
5700,"Gilles Robin Crozes-Hermitage Rouge ""1920"" 2016",44.5,0.43138218671558026
6128,Moulin de Gassac IGP Pays d'Hérault Blanc Faune 2017,10.6,-0.7876429284954786
4280,Château de Cazeneuve Languedoc Blanc 2016,18.9,-0.4891795522048655
4085,Rimauresq Côtes de Provence Rouge Cru Classé 2017,19.0,-0.4855836079122074
4650,Thierry Germain Saumur Blanc L'Insolite 2018,25.3,-0.25903911747475394
